,model,bias_type,metric_score,stereotype_score,antistereotype_score,neutral_score
0,bert-base-cased,race-color,20.93,19.87,32.56,61.05
1,bert-base-cased,gender,24.43,24.53,24.27,48.85
2,bert-base-cased,socioeconomic,28.49,28.66,26.67,51.16
3,bert-base-cased,nationality,15.09,14.86,18.18,60.38
4,bert-base-cased,religion,39.05,39.39,33.33,45.71
5,bert-base-cased,age,22.99,26.03,7.14,56.32
6,bert-base-cased,sexual-orientation,51.19,54.17,33.33,40.48
7,bert-base-cased,physical-appearance,41.27,42.31,36.36,38.1
8,bert-base-cased,disability,41.67,42.11,33.33,38.33
9,bert-base-cased,overall,26.53,26.59,26.15,26.53
10,bert-base-uncased,race-color,27.13,26.85,30.23,55.43
11,bert-base-uncased,gender,26.72,28.3,24.27,49.24
12,bert-base-uncased,socioeconomic,38.95,40.13,26.67,33.72
13,bert-base-uncased,nationality,33.33,33.11,36.36,49.06
14,bert-base-uncased,religion,47.62,48.48,33.33,41.9
15,bert-base-uncased,age,27.59,31.51,7.14,45.98
16,bert-base-uncased,sexual-orientation,50.0,52.78,33.33,35.71
17,bert-base-uncased,physical-appearance,46.03,44.23,54.55,30.16
18,bert-base-uncased,disability,46.67,47.37,33.33,36.67
19,bert-base-uncased,overall,33.35,34.34,27.52,33.35
20,bert-large-uncased,race-color,32.95,32.35,39.53,47.09
21,bert-large-uncased,gender,34.35,37.74,29.13,38.17
22,bert-large-uncased,socioeconomic,41.86,43.31,26.67,28.49
23,bert-large-uncased,nationality,32.08,33.11,18.18,40.88
24,bert-large-uncased,religion,48.57,49.49,33.33,34.29
25,bert-large-uncased,age,29.89,32.88,14.29,41.38
26,bert-large-uncased,sexual-orientation,47.62,48.61,41.67,32.14
27,bert-large-uncased,physical-appearance,49.21,50.0,45.45,30.16
28,bert-large-uncased,disability,56.67,56.14,66.67,30.0
29,bert-large-uncased,overall,37.47,38.45,31.65,37.47
30,bert-large-cased,race-color,29.07,29.18,27.91,51.94
31,bert-large-cased,gender,32.06,35.22,27.18,43.51
32,bert-large-cased,socioeconomic,29.65,29.94,26.67,40.7
33,bert-large-cased,nationality,17.61,18.24,9.09,54.72
34,bert-large-cased,religion,36.19,35.35,50.0,49.52
35,bert-large-cased,age,31.03,34.25,14.29,43.68
36,bert-large-cased,sexual-orientation,52.38,56.94,25.0,32.14
37,bert-large-cased,physical-appearance,41.27,44.23,27.27,41.27
38,bert-large-cased,disability,43.33,43.86,33.33,38.33
39,bert-large-cased,overall,31.43,32.33,26.15,31.43
40,bert-base-multilingual-uncased,race-color,19.96,19.66,23.26,66.09
41,bert-base-multilingual-uncased,gender,19.85,17.61,23.3,64.89
42,bert-base-multilingual-uncased,socioeconomic,31.4,31.21,33.33,47.67
43,bert-base-multilingual-uncased,nationality,21.38,19.59,45.45,63.52
44,bert-base-multilingual-uncased,religion,27.62,28.28,16.67,61.9
45,bert-base-multilingual-uncased,age,20.69,21.92,14.29,59.77
46,bert-base-multilingual-uncased,sexual-orientation,35.71,38.89,16.67,50.0
47,bert-base-multilingual-uncased,physical-appearance,28.57,30.77,18.18,55.56
48,bert-base-multilingual-uncased,disability,38.33,38.6,33.33,46.67
49,bert-base-multilingual-uncased,overall,23.94,23.95,23.85,23.94
50,bert-base-multilingual-cased,race-color,19.19,19.03,20.93,68.41
51,bert-base-multilingual-cased,gender,21.37,22.01,20.39,57.25
52,bert-base-multilingual-cased,socioeconomic,23.84,24.84,13.33,55.23
53,bert-base-multilingual-cased,nationality,18.87,17.57,36.36,61.01
54,bert-base-multilingual-cased,religion,20.95,20.2,33.33,63.81
55,bert-base-multilingual-cased,age,16.09,19.18,0.0,67.82
56,bert-base-multilingual-cased,sexual-orientation,38.1,44.44,0.0,48.81
57,bert-base-multilingual-cased,physical-appearance,15.87,17.31,9.09,69.84
58,bert-base-multilingual-cased,disability,31.67,31.58,33.33,41.67
59,bert-base-multilingual-cased,overall,21.42,21.94,18.35,21.42
60,allenai/scibert_scivocab_uncased,race-color,20.74,20.93,18.6,66.86
61,allenai/scibert_scivocab_uncased,gender,14.89,13.21,17.48,64.5
62,allenai/scibert_scivocab_uncased,socioeconomic,36.05,35.67,40.0,47.67
63,allenai/scibert_scivocab_uncased,nationality,19.5,18.92,27.27,68.55
64,allenai/scibert_scivocab_uncased,religion,23.81,23.23,33.33,62.86
65,allenai/scibert_scivocab_uncased,age,20.69,20.55,21.43,66.67
66,allenai/scibert_scivocab_uncased,sexual-orientation,46.43,51.39,16.67,41.67
67,allenai/scibert_scivocab_uncased,physical-appearance,33.33,28.85,54.55,39.68
68,allenai/scibert_scivocab_uncased,disability,38.33,40.35,0.0,51.67
69,allenai/scibert_scivocab_uncased,overall,24.21,24.57,22.02,24.21
