,model,bias_type,metric_score,stereotype_score,antistereotype_score,neutral_score
0,bert-base-cased,race-color,16.09,14.8,30.23,71.9
1,bert-base-cased,gender,17.18,17.61,16.5,62.98
2,bert-base-cased,socioeconomic,19.19,19.11,20.0,63.95
3,bert-base-cased,nationality,10.06,10.14,9.09,74.21
4,bert-base-cased,religion,28.57,29.29,16.67,63.81
5,bert-base-cased,age,12.64,13.7,7.14,72.41
6,bert-base-cased,sexual-orientation,39.29,43.06,16.67,54.76
7,bert-base-cased,physical-appearance,30.16,34.62,9.09,53.97
8,bert-base-cased,disability,33.33,35.09,0.0,55.0
9,bert-base-uncased,race-color,20.16,19.66,25.58,68.6
10,bert-base-uncased,gender,20.23,22.01,17.48,61.83
11,bert-base-uncased,socioeconomic,29.07,29.3,26.67,49.42
12,bert-base-uncased,nationality,22.64,22.97,18.18,65.41
13,bert-base-uncased,religion,36.19,37.37,16.67,55.24
14,bert-base-uncased,age,21.84,26.03,0.0,57.47
15,bert-base-uncased,sexual-orientation,42.86,45.83,25.0,45.24
16,bert-base-uncased,physical-appearance,39.68,38.46,45.45,38.1
17,bert-base-uncased,disability,36.67,36.84,33.33,50.0
18,bert-large-uncased,race-color,26.74,26.22,32.56,57.36
19,bert-large-uncased,gender,27.1,30.82,21.36,51.53
20,bert-large-uncased,socioeconomic,34.88,36.31,20.0,40.7
21,bert-large-uncased,nationality,25.79,26.35,18.18,55.97
22,bert-large-uncased,religion,38.1,38.38,33.33,49.52
23,bert-large-uncased,age,26.44,28.77,14.29,52.87
24,bert-large-uncased,sexual-orientation,41.67,45.83,16.67,41.67
25,bert-large-uncased,physical-appearance,41.27,40.38,45.45,47.62
26,bert-large-uncased,disability,51.67,50.88,66.67,40.0
27,bert-large-cased,race-color,22.87,22.83,23.26,62.79
28,bert-large-cased,gender,20.61,22.64,17.48,59.92
29,bert-large-cased,socioeconomic,22.09,22.29,20.0,54.65
30,bert-large-cased,nationality,13.21,14.19,0.0,71.07
31,bert-large-cased,religion,29.52,29.29,33.33,59.05
32,bert-large-cased,age,20.69,24.66,0.0,60.92
33,bert-large-cased,sexual-orientation,45.24,51.39,8.33,45.24
34,bert-large-cased,physical-appearance,30.16,32.69,18.18,53.97
35,bert-large-cased,disability,35.0,35.09,33.33,51.67
36,bert-base-multilingual-uncased,race-color,13.76,13.53,16.28,79.46
37,bert-base-multilingual-uncased,gender,14.89,15.09,14.56,74.43
38,bert-base-multilingual-uncased,socioeconomic,22.67,22.93,20.0,61.63
39,bert-base-multilingual-uncased,nationality,16.35,14.86,36.36,72.96
40,bert-base-multilingual-uncased,religion,19.05,19.19,16.67,72.38
41,bert-base-multilingual-uncased,age,13.79,15.07,7.14,73.56
42,bert-base-multilingual-uncased,sexual-orientation,30.95,33.33,16.67,60.71
43,bert-base-multilingual-uncased,physical-appearance,17.46,17.31,18.18,73.02
44,bert-base-multilingual-uncased,disability,30.0,29.82,33.33,55.0
45,bert-base-multilingual-cased,race-color,13.57,13.74,11.63,78.49
46,bert-base-multilingual-cased,gender,14.12,13.84,14.56,73.28
47,bert-base-multilingual-cased,socioeconomic,12.79,12.74,13.33,70.35
48,bert-base-multilingual-cased,nationality,9.43,8.78,18.18,77.99
49,bert-base-multilingual-cased,religion,19.05,18.18,33.33,72.38
50,bert-base-multilingual-cased,age,5.75,6.85,0.0,83.91
51,bert-base-multilingual-cased,sexual-orientation,26.19,30.56,0.0,66.67
52,bert-base-multilingual-cased,physical-appearance,6.35,5.77,9.09,82.54
53,bert-base-multilingual-cased,disability,20.0,19.3,33.33,61.67
54,allenai/scibert_scivocab_uncased,race-color,13.37,12.9,18.6,79.07
55,allenai/scibert_scivocab_uncased,gender,9.92,8.18,12.62,76.72
56,allenai/scibert_scivocab_uncased,socioeconomic,27.33,26.11,40.0,58.14
57,allenai/scibert_scivocab_uncased,nationality,10.06,8.78,27.27,83.65
58,allenai/scibert_scivocab_uncased,religion,18.1,17.17,33.33,74.29
59,allenai/scibert_scivocab_uncased,age,12.64,13.7,7.14,75.86
60,allenai/scibert_scivocab_uncased,sexual-orientation,35.71,40.28,8.33,55.95
61,allenai/scibert_scivocab_uncased,physical-appearance,20.63,19.23,27.27,63.49
62,allenai/scibert_scivocab_uncased,disability,31.67,33.33,0.0,61.67
63,emilyalsentzer/Bio_ClinicalBERT,race-color,10.27,9.51,18.6,79.26
64,emilyalsentzer/Bio_ClinicalBERT,gender,12.6,14.47,9.71,77.86
65,emilyalsentzer/Bio_ClinicalBERT,socioeconomic,10.47,8.92,26.67,76.74
66,emilyalsentzer/Bio_ClinicalBERT,nationality,11.95,10.14,36.36,82.39
67,emilyalsentzer/Bio_ClinicalBERT,religion,10.48,9.09,33.33,73.33
68,emilyalsentzer/Bio_ClinicalBERT,age,11.49,12.33,7.14,81.61
69,emilyalsentzer/Bio_ClinicalBERT,sexual-orientation,23.81,27.78,0.0,72.62
70,emilyalsentzer/Bio_ClinicalBERT,physical-appearance,12.7,7.69,36.36,71.43
71,emilyalsentzer/Bio_ClinicalBERT,disability,20.0,15.79,100.0,65.0
72,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,race-color,12.98,11.84,25.58,80.81
73,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,gender,10.31,12.58,6.8,79.39
74,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,socioeconomic,23.26,22.29,33.33,66.28
75,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,nationality,11.32,11.49,9.09,77.36
76,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,religion,15.24,13.13,50.0,79.05
77,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,age,10.34,12.33,0.0,75.86
78,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,sexual-orientation,22.62,26.39,0.0,75.0
79,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,physical-appearance,14.29,11.54,27.27,71.43
80,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,disability,31.67,31.58,33.33,60.0
81,nlpaueb/legal-bert-base-uncased,race-color,17.05,17.76,9.3,74.22
82,nlpaueb/legal-bert-base-uncased,gender,17.18,18.24,15.53,68.32
83,nlpaueb/legal-bert-base-uncased,socioeconomic,25.58,24.84,33.33,55.81
84,nlpaueb/legal-bert-base-uncased,nationality,18.24,16.22,45.45,68.55
85,nlpaueb/legal-bert-base-uncased,religion,28.57,28.28,33.33,62.86
86,nlpaueb/legal-bert-base-uncased,age,16.09,17.81,7.14,65.52
87,nlpaueb/legal-bert-base-uncased,sexual-orientation,35.71,40.28,8.33,55.95
88,nlpaueb/legal-bert-base-uncased,physical-appearance,31.75,28.85,45.45,58.73
89,nlpaueb/legal-bert-base-uncased,disability,28.33,28.07,33.33,63.33
90,GroNLP/hateBERT,race-color,22.67,22.83,20.93,62.21
91,GroNLP/hateBERT,gender,20.61,18.87,23.3,65.27
92,GroNLP/hateBERT,socioeconomic,22.09,21.02,33.33,51.74
93,GroNLP/hateBERT,nationality,27.04,27.7,18.18,62.89
94,GroNLP/hateBERT,religion,42.86,43.43,33.33,45.71
95,GroNLP/hateBERT,age,26.44,31.51,0.0,58.62
96,GroNLP/hateBERT,sexual-orientation,36.9,40.28,16.67,53.57
97,GroNLP/hateBERT,physical-appearance,31.75,34.62,18.18,55.56
98,GroNLP/hateBERT,disability,33.33,33.33,33.33,45.0
99,anferico/bert-for-patents,race-color,13.57,14.16,6.98,75.78
100,anferico/bert-for-patents,gender,11.83,10.69,13.59,72.52
101,anferico/bert-for-patents,socioeconomic,15.12,14.65,20.0,62.79
102,anferico/bert-for-patents,nationality,6.29,5.41,18.18,81.76
103,anferico/bert-for-patents,religion,20.0,18.18,50.0,67.62
104,anferico/bert-for-patents,age,14.94,15.07,14.29,74.71
105,anferico/bert-for-patents,sexual-orientation,13.1,13.89,8.33,82.14
106,anferico/bert-for-patents,physical-appearance,17.46,17.31,18.18,71.43
107,anferico/bert-for-patents,disability,30.0,28.07,66.67,53.33
108,jackaduma/SecBERT,race-color,19.38,20.08,11.63,66.09
109,jackaduma/SecBERT,gender,17.56,18.24,16.5,54.96
110,jackaduma/SecBERT,socioeconomic,22.67,21.66,33.33,50.0
111,jackaduma/SecBERT,nationality,13.84,14.19,9.09,71.07
112,jackaduma/SecBERT,religion,19.05,18.18,33.33,65.71
113,jackaduma/SecBERT,age,9.2,8.22,14.29,65.52
114,jackaduma/SecBERT,sexual-orientation,17.86,18.06,16.67,69.05
115,jackaduma/SecBERT,physical-appearance,22.22,19.23,36.36,60.32
116,jackaduma/SecBERT,disability,30.0,29.82,33.33,63.33
117,albert-base-v1,race-color,8.14,8.25,6.98,85.85
118,albert-base-v1,gender,10.31,11.95,7.77,79.77
119,albert-base-v1,socioeconomic,22.09,22.93,13.33,70.93
120,albert-base-v1,nationality,6.92,4.73,36.36,86.16
121,albert-base-v1,religion,16.19,16.16,16.67,78.1
122,albert-base-v1,age,9.2,10.96,0.0,85.06
123,albert-base-v1,sexual-orientation,33.33,37.5,8.33,58.33
124,albert-base-v1,physical-appearance,12.7,13.46,9.09,77.78
125,albert-base-v1,disability,25.0,24.56,33.33,65.0
126,albert-base-v2,race-color,12.6,12.05,18.6,75.97
127,albert-base-v2,gender,15.27,13.21,18.45,68.7
128,albert-base-v2,socioeconomic,29.07,27.39,46.67,58.14
129,albert-base-v2,nationality,13.84,13.51,18.18,74.84
130,albert-base-v2,religion,12.38,13.13,0.0,77.14
131,albert-base-v2,age,17.24,20.55,0.0,67.82
132,albert-base-v2,sexual-orientation,36.9,41.67,8.33,54.76
133,albert-base-v2,physical-appearance,26.98,30.77,9.09,53.97
134,albert-base-v2,disability,46.67,45.61,66.67,48.33
135,roberta-base,race-color,17.64,17.76,16.28,62.79
136,roberta-base,gender,23.28,26.42,18.45,56.49
137,roberta-base,socioeconomic,28.49,29.94,13.33,49.42
138,roberta-base,nationality,21.38,18.24,63.64,44.03
139,roberta-base,religion,29.52,26.26,83.33,49.52
140,roberta-base,age,29.89,32.88,14.29,56.32
141,roberta-base,sexual-orientation,38.1,43.06,8.33,48.81
142,roberta-base,physical-appearance,33.33,34.62,27.27,46.03
143,roberta-base,disability,43.33,43.86,33.33,45.0
144,distilroberta-base,race-color,12.21,12.26,11.63,73.84
145,distilroberta-base,gender,15.27,15.72,14.56,71.37
146,distilroberta-base,socioeconomic,27.33,27.39,26.67,56.98
147,distilroberta-base,nationality,13.21,12.16,27.27,71.07
148,distilroberta-base,religion,20.95,20.2,33.33,64.76
149,distilroberta-base,age,10.34,8.22,21.43,79.31
150,distilroberta-base,sexual-orientation,21.43,25.0,0.0,72.62
151,distilroberta-base,physical-appearance,28.57,23.08,54.55,57.14
152,distilroberta-base,disability,26.67,26.32,33.33,58.33
153,roberta-large,race-color,27.71,27.06,34.88,54.46
154,roberta-large,gender,25.19,27.67,21.36,54.96
155,roberta-large,socioeconomic,33.72,32.48,46.67,54.07
156,roberta-large,nationality,19.5,16.89,54.55,58.49
157,roberta-large,religion,31.43,30.3,50.0,55.24
158,roberta-large,age,39.08,41.1,28.57,48.28
159,roberta-large,sexual-orientation,41.67,44.44,25.0,45.24
160,roberta-large,physical-appearance,34.92,42.31,0.0,53.97
161,roberta-large,disability,40.0,42.11,0.0,48.33
162,huggingface/CodeBERTa-small-v1,race-color,2.52,1.69,11.63,94.77
163,huggingface/CodeBERTa-small-v1,gender,5.73,5.66,5.83,86.26
164,huggingface/CodeBERTa-small-v1,socioeconomic,1.16,1.27,0.0,94.77
165,huggingface/CodeBERTa-small-v1,nationality,2.52,1.35,18.18,95.6
166,huggingface/CodeBERTa-small-v1,religion,3.81,2.02,33.33,93.33
167,huggingface/CodeBERTa-small-v1,age,2.3,2.74,0.0,90.8
168,huggingface/CodeBERTa-small-v1,sexual-orientation,1.19,1.39,0.0,97.62
169,huggingface/CodeBERTa-small-v1,physical-appearance,1.59,1.92,0.0,98.41
170,huggingface/CodeBERTa-small-v1,disability,3.33,3.51,0.0,93.33
171,climatebert/distilroberta-base-climate-f,race-color,10.08,10.99,0.0,80.04
172,climatebert/distilroberta-base-climate-f,gender,12.98,12.58,13.59,71.37
173,climatebert/distilroberta-base-climate-f,socioeconomic,16.86,15.92,26.67,72.09
174,climatebert/distilroberta-base-climate-f,nationality,12.58,12.16,18.18,76.1
175,climatebert/distilroberta-base-climate-f,religion,9.52,8.08,33.33,77.14
176,climatebert/distilroberta-base-climate-f,age,12.64,12.33,14.29,78.16
177,climatebert/distilroberta-base-climate-f,sexual-orientation,28.57,31.94,8.33,67.86
178,climatebert/distilroberta-base-climate-f,physical-appearance,19.05,19.23,18.18,73.02
179,climatebert/distilroberta-base-climate-f,disability,26.67,28.07,0.0,61.67
180,xlm-roberta-base,race-color,15.12,14.8,18.6,70.54
181,xlm-roberta-base,gender,18.7,19.5,17.48,64.12
182,xlm-roberta-base,socioeconomic,27.33,26.75,33.33,58.14
183,xlm-roberta-base,nationality,15.72,14.19,36.36,64.78
184,xlm-roberta-base,religion,13.33,11.11,50.0,73.33
185,xlm-roberta-base,age,18.39,20.55,7.14,67.82
186,xlm-roberta-base,sexual-orientation,28.57,33.33,0.0,64.29
187,xlm-roberta-base,physical-appearance,26.98,30.77,9.09,61.9
188,xlm-roberta-base,disability,35.0,33.33,66.67,48.33
189,distilbert-base-multilingual-cased,race-color,5.62,5.29,9.3,89.34
190,distilbert-base-multilingual-cased,gender,5.73,5.66,5.83,85.88
191,distilbert-base-multilingual-cased,socioeconomic,11.05,10.19,20.0,83.72
192,distilbert-base-multilingual-cased,nationality,4.4,4.05,9.09,92.45
193,distilbert-base-multilingual-cased,religion,6.67,6.06,16.67,88.57
194,distilbert-base-multilingual-cased,age,4.6,5.48,0.0,91.95
195,distilbert-base-multilingual-cased,sexual-orientation,19.05,22.22,0.0,78.57
196,distilbert-base-multilingual-cased,physical-appearance,6.35,7.69,0.0,84.13
197,distilbert-base-multilingual-cased,disability,23.33,22.81,33.33,66.67
